code,name,price,volume
002058.SZ,威尔泰,11.02,11932656.0
002059.SZ,云南旅游,5.48,31059302.0
002062.SZ,宏润建设,5.25,22525607.0
002063.SZ,远光软件,6.49,100827021.0
002064.SZ,华峰化学,8.26,25269811.0
002065.SZ,东华软件,11.66,400244004.0
002068.SZ,黑猫股份,12.2,26856043.0
002073.SZ,软控股份,8.67,44279231.0
002074.SZ,国轩高科,23.29,49505930.0
002075.SZ,沙钢股份,5.84,65224949.0
002077.SZ,大港股份,14.94,29555133.0
002078.SZ,太阳纸业,14.19,25346412.0
002079.SZ,苏州固锝,10.51,21141491.0
002080.SZ,中材科技,14.81,36581450.0
002082.SZ,万邦德,5.97,13602022.0
002085.SZ,万丰奥威,19.84,137493759.0
002090.SZ,金智科技,9.74,22244249.0
002091.SZ,江苏国泰,7.72,50429148.0
002093.SZ,国脉科技,7.9,22723000.0
002094.SZ,青岛金王,5.99,121228825.0
002095.SZ,生 意 宝,18.93,10388711.0
002096.SZ,易普力,11.21,9138808.0
002097.SZ,山河智能,8.26,69260625.0
300001.SZ,特锐德,24.09,21401415.0
300002.SZ,神州泰岳,13.49,107257612.0
300003.SZ,乐普医疗,11.57,26456320.0
300004.SZ,南风股份,6.33,10312000.0
300005.SZ,探路者,7.87,36550213.0
300007.SZ,汉威科技,43.2,81389734.0
300009.SZ,安科生物,8.53,21133144.0
300010.SZ,豆神教育,7.47,149073966.0
300011.SZ,鼎汉技术,8.07,28604217.0
300012.SZ,华测检测,12.43,31002600.0
300014.SZ,亿纬锂能,46.82,63127302.0
300015.SZ,爱尔眼科,13.9,119467080.0
300016.SZ,北陆药业,6.56,7998306.0
300017.SZ,网宿科技,12.86,187204006.0
300018.SZ,中元股份,6.93,17052460.0
300019.SZ,硅宝科技,17.03,20649119.0
300022.SZ,吉峰科技,6.79,63054644.0
300024.SZ,机器人,19.46,96781270.0
300025.SZ,华星创业,8.36,21921063.0
300029.SZ,ST天龙,5.22,9763800.0
300030.SZ,阳普医疗,5.91,7921050.0
300031.SZ,宝通科技,38.78,145793512.0
300034.SZ,钢研高纳,14.98,11577369.0
300035.SZ,中科电气,16.55,97805392.0
300036.SZ,超图软件,17.05,17753800.0
300037.SZ,新宙邦,36.1,33867043.0
300039.SZ,上海凯宝,6.03,21333561.0
300040.SZ,九洲集团,6.44,58884161.0
300041.SZ,回天新材,8.74,20529790.0
300042.SZ,朗科科技,25.94,31094481.0
300044.SZ,赛为智能,6.73,70486759.0
300045.SZ,华力创通,21.32,30630643.0
300046.SZ,台基股份,34.08,16930500.0
300047.SZ,天源迪科,14.39,100808991.0
300048.SZ,合康新能,5.03,12715260.0
300049.SZ,福瑞股份,33.74,6269402.0
300050.SZ,世纪鼎利,5.72,38220100.0
300051.SZ,琏升科技,6.87,7607900.0
300052.SZ,中青宝,17.53,21012762.0
300053.SZ,航宇微,14.52,47012744.0
300054.SZ,鼎龙股份,28.62,20857000.0
300055.SZ,万邦达,5.03,7457444.0
300056.SZ,中创环保,14.85,15346729.0
300057.SZ,万顺新材,5.28,32681020.0
300058.SZ,蓝色光标,8.65,190304234.0
300059.SZ,东方财富,23.23,467747359.0
300061.SZ,旗天科技,15.64,114000018.0
300062.SZ,中能电气,5.5,15220100.0
300063.SZ,天龙集团,9.36,69980150.0
300065.SZ,海兰信,11.29,65401336.0
300067.SZ,安诺其,5.82,93884450.0
300068.SZ,南都电源,20.81,191222028.0
300069.SZ,金利华电,17.69,13185520.0
300071.SZ,福石控股,6.61,115665741.0
300073.SZ,当升科技,44.99,43043258.0
300075.SZ,数字政通,21.5,89038669.0
300076.SZ,GQY视讯,8.2,66923243.0
300077.SZ,国民技术,26.29,68579149.0
300079.SZ,数码视讯,5.63,59872802.0
300081.SZ,恒信东方,7.66,39175278.0
300082.SZ,奥克股份,6.83,31078278.0
300083.SZ,创世纪,9.19,384867316.0
300084.SZ,海默科技,6.04,34699704.0
300085.SZ,银之杰,38.23,44563250.0
300087.SZ,荃银高科,10.01,27754870.0
300088.SZ,长信科技,6.53,70517706.0
