date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-10,sz.301502,39.3,39.52,38.7,39.47,1047909,40966895.39,4.3113,0.4837
2025-02-11,sz.301502,39.68,39.7,39.0,39.49,913428,36003556.03,3.758,0.0507
2025-02-12,sz.301502,39.5,39.61,39.0,39.36,979676,38486562.48,4.0306,-0.3292
2025-02-13,sz.301502,39.4,39.47,38.65,38.9,1086490,42375469.26,4.47,-1.1687
2025-02-14,sz.301502,39.09,39.34,38.86,39.06,685408,26780431.04,2.8199,0.4113
2025-02-17,sz.301502,39.3,40.02,39.06,39.84,1091638,43220262.68,4.4912,1.9969
2025-02-18,sz.301502,39.75,39.94,38.26,38.48,1038762,40600323.35,4.2736,-3.4137
2025-02-19,sz.301502,38.56,39.47,38.4,39.46,882325,34563268.25,3.63,2.5468
2025-02-20,sz.301502,39.45,40.18,39.45,39.95,1187082,47299145.14,4.8839,1.2418
2025-02-21,sz.301502,39.9,40.14,39.61,40.08,1173300,46830314.0,4.8272,0.3254
2025-02-24,sz.301502,40.08,41.23,39.49,40.67,1789934,72131046.0,7.3641,1.4721
2025-02-25,sz.301502,40.0,40.61,39.71,40.18,971244,39029629.11,3.9959,-1.2048
2025-02-26,sz.301502,40.18,41.5,40.18,40.99,1829550,75163868.32,7.5271,2.0159
2025-02-27,sz.301502,40.97,42.48,40.97,41.4,1636067,67969414.94,6.7311,1.0002
2025-02-28,sz.301502,41.44,41.44,39.42,39.5,1466109,58785820.87,6.0318,-4.5894
2025-03-03,sz.301502,39.55,40.56,39.5,39.93,1117800,44825567.0,4.5988,1.0886
2025-03-04,sz.301502,39.5,40.77,39.5,40.7,1074700,43365692.0,4.4215,1.9284
2025-03-05,sz.301502,40.37,41.55,40.01,41.34,1605300,65724987.0,6.6045,1.5725
2025-03-06,sz.301502,41.34,41.66,41.02,41.31,1592800,65907196.68,6.553,-0.0726
2025-03-07,sz.301502,41.41,42.3,41.05,41.23,1329300,55313356.77,5.469,-0.1937
2025-03-10,sz.301502,41.49,41.78,41.06,41.43,967800,40091493.0,3.9817,0.4851
2025-03-11,sz.301502,40.7,43.87,40.63,42.6,2686300,114426859.0,11.0519,2.824
