date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-10,sz.002202,9.45,9.48,9.27,9.31,39209988,365767745.86,1.1688,-0.3212
2025-02-11,sz.002202,9.32,9.34,9.13,9.24,33072282,304301299.09,0.9858,-0.7519
2025-02-12,sz.002202,9.24,9.32,9.2,9.32,24990759,231370167.89,0.7449,0.8658
2025-02-13,sz.002202,9.32,9.34,9.1,9.1,43551096,399189822.63,1.2982,-2.3605
2025-02-14,sz.002202,9.1,9.16,9.03,9.13,29110244,264877868.47,0.8677,0.3297
2025-02-17,sz.002202,9.14,9.17,9.03,9.11,32586621,296387075.1,0.9713,-0.2191
2025-02-18,sz.002202,9.12,9.18,8.92,8.96,36238716,328001003.55,1.0802,-1.6465
2025-02-19,sz.002202,8.94,9.09,8.88,9.08,35586132,320751500.56,1.0607,1.3393
2025-02-20,sz.002202,9.08,9.09,8.9,8.92,35861911,320546779.63,1.069,-1.7621
2025-02-21,sz.002202,8.93,9.02,8.9,9.01,39919216,357793425.57,1.1899,1.009
2025-02-24,sz.002202,9.01,9.07,8.83,8.88,53637079,479034143.07,1.5988,-1.4428
2025-02-25,sz.002202,8.89,9.17,8.8,9.08,72650892,657222017.0,2.1656,2.2523
2025-02-26,sz.002202,9.15,9.4,9.11,9.29,83898888,780686656.16,2.5008,2.3128
2025-02-27,sz.002202,9.29,9.32,9.02,9.16,56827174,518728728.15,1.6939,-1.3994
2025-02-28,sz.002202,9.13,9.19,9.05,9.05,42763706,389769693.07,1.2747,-1.2009
2025-03-03,sz.002202,9.06,9.23,8.99,9.03,51157452,466463737.82,1.5249,-0.221
2025-03-04,sz.002202,9.0,9.12,8.9,9.05,45765326,412053113.52,1.3642,0.2215
2025-03-05,sz.002202,9.05,9.07,8.9,8.96,28828162,258056534.09,0.8593,-0.9945
2025-03-06,sz.002202,8.97,9.08,8.91,9.06,40489223,365163492.25,1.2069,1.1161
2025-03-07,sz.002202,9.02,9.06,8.89,8.95,47680544,426783379.86,1.4213,-1.2141
2025-03-10,sz.002202,8.96,9.08,8.96,9.01,32264695,290492516.5,0.9617,0.6704
2025-03-11,sz.002202,8.96,9.05,8.89,9.05,33412855,299439220.82,0.996,0.444
