date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-20,sz.300376,3.65,3.65,3.59,3.61,13200926,47714256.2,0.5672,-0.8242
2025-02-21,sz.300376,3.63,3.73,3.62,3.71,25312400,93207063.0,1.0876,2.7701
2025-02-24,sz.300376,3.73,3.86,3.69,3.82,34086200,129107812.0,1.4645,2.965
2025-02-25,sz.300376,3.76,3.81,3.73,3.78,20844397,78631911.72,0.8956,-1.0471
2025-02-26,sz.300376,3.77,3.81,3.74,3.75,19160300,72254895.8,0.8232,-0.7937
2025-02-27,sz.300376,3.76,3.77,3.67,3.71,17502052,64957396.88,0.752,-1.0667
2025-02-28,sz.300376,3.71,3.72,3.6,3.61,17435500,63765640.0,0.7491,-2.6954
2025-03-03,sz.300376,3.59,3.66,3.58,3.59,13141907,47492226.48,0.5647,-0.554
2025-03-04,sz.300376,3.56,3.6,3.54,3.59,12121100,43373967.0,0.5208,0.0
2025-03-05,sz.300376,3.58,3.6,3.54,3.59,13057371,46571165.18,0.561,0.0
2025-03-06,sz.300376,3.59,3.65,3.58,3.63,15244704,55254317.46,0.655,1.1142
2025-03-07,sz.300376,3.61,3.62,3.55,3.58,14637700,52456075.0,0.6289,-1.3774
2025-03-10,sz.300376,3.58,3.59,3.55,3.57,8231100,29343059.0,0.3537,-0.2793
2025-03-11,sz.300376,3.54,3.6,3.53,3.6,10366400,37026607.0,0.4454,0.8403
