date,code,close,volume,amount,turn,pctChg
2025-01-13,sh.600110,3.71,15208000,55936785.0,0.8765,0.8152
2025-01-14,sh.600110,3.86,21596402,82110190.62,1.2446,4.0431
2025-01-15,sh.600110,3.82,17687900,67395462.0,1.0194,-1.0363
2025-01-16,sh.600110,3.85,18237200,70567215.0,1.051,0.7853
2025-01-17,sh.600110,3.85,10213455,39275705.75,0.5886,0.0
2025-01-20,sh.600110,3.92,15913000,62360048.0,0.9171,1.8182
2025-01-21,sh.600110,3.83,14246700,54930208.0,0.821,-2.2959
2025-01-22,sh.600110,3.78,11949100,45210154.0,0.6886,-1.3055
2025-01-23,sh.600110,3.75,15916899,61037539.16,0.9173,-0.7937
2025-01-24,sh.600110,3.8,13765624,52039162.48,0.7933,1.3333
2025-01-27,sh.600110,3.71,16455600,61711387.0,0.9484,-2.3684
2025-02-05,sh.600110,3.74,14031300,52613983.0,0.8086,0.8086
2025-02-06,sh.600110,3.87,20978104,79858172.36,1.209,3.4759
2025-02-07,sh.600110,3.96,26938698,106267015.16,1.5525,2.3256
2025-02-10,sh.600110,4.06,29775591,119591383.2,1.716,2.5253
2025-02-11,sh.600110,4.01,22805766,91001526.02,1.3143,-1.2315
2025-02-12,sh.600110,4.1,21438900,86955904.0,1.2355,2.2444
2025-02-13,sh.600110,4.06,18874000,77144555.0,1.0877,-0.9756
2025-02-14,sh.600110,4.04,23201501,94556416.07,1.3371,-0.4926
2025-02-17,sh.600110,4.01,20370167,81768920.53,1.174,-0.7426
2025-02-18,sh.600110,3.98,26640110,107633875.25,1.5353,-0.7481
2025-02-19,sh.600110,4.03,18544359,74206534.78,1.0687,1.2563
2025-02-20,sh.600110,4.37,103989172,447570176.61,5.993,8.4367
2025-02-21,sh.600110,4.4,83075218,366113691.09,4.7877,0.6865
2025-02-24,sh.600110,4.35,39527827,171649166.1,2.278,-1.1364
2025-02-25,sh.600110,4.4,36287207,159315462.24,2.0913,1.1494
2025-02-26,sh.600110,4.42,32165070,142594411.0,1.8537,0.4545
2025-02-27,sh.600110,4.5,46036102,205487815.92,2.6531,1.81
2025-02-28,sh.600110,4.33,42827100,187757564.0,2.4682,-3.7778
2025-03-03,sh.600110,4.43,50084385,223332661.5,2.8864,2.3095
2025-03-04,sh.600110,4.32,34147901,147369140.41,1.968,-2.4831
2025-03-05,sh.600110,4.29,26728000,114465669.0,1.5404,-0.6944
2025-03-06,sh.600110,4.33,23769651,103027657.82,1.3699,0.9324
2025-03-07,sh.600110,4.25,23327944,99774198.13,1.3444,-1.8476
2025-03-10,sh.600110,4.26,19991804,85343352.57,1.1521,0.2353
2025-03-11,sh.600110,4.26,20997400,88508958.0,1.2101,0.0
