date,code,close,volume,amount,turn,pctChg
2025-01-13,sh.600192,5.28,4641500,24174047.0,1.0507,-0.9381
2025-01-14,sh.600192,5.59,6338385,34866045.89,1.4348,5.8712
2025-01-15,sh.600192,5.58,4749114,26543178.98,1.0751,-0.1789
2025-01-16,sh.600192,5.6,4346714,24477286.12,0.984,0.3584
2025-01-17,sh.600192,5.55,4430500,24713923.5,1.0029,-0.8929
2025-01-20,sh.600192,5.7,4317440,24467068.0,0.9774,2.7027
2025-01-21,sh.600192,5.59,3445711,19408649.29,0.78,-1.9298
2025-01-22,sh.600192,5.49,3893165,21498513.51,0.8813,-1.7889
2025-01-23,sh.600192,5.52,6166100,34649111.6,1.3958,0.5464
2025-01-24,sh.600192,5.55,5632600,31337035.14,1.2751,0.5435
2025-01-27,sh.600192,5.45,4186586,23088722.88,0.9477,-1.8018
2025-02-05,sh.600192,5.67,6329100,35694313.0,1.4327,4.0367
2025-02-06,sh.600192,5.67,4770614,26763029.08,1.0799,0.0
2025-02-07,sh.600192,5.79,5455980,31458969.6,1.2351,2.1164
2025-02-10,sh.600192,5.88,5584601,32665114.82,1.2642,1.5544
2025-02-11,sh.600192,5.82,5253344,30418880.31,1.1892,-1.0204
2025-02-12,sh.600192,5.85,5004125,29203592.31,1.1328,0.5155
2025-02-13,sh.600192,5.67,8447100,48277014.0,1.9122,-3.0769
2025-02-14,sh.600192,5.6,4621400,26068120.0,1.0462,-1.2346
2025-02-17,sh.600192,5.77,6598500,37762307.0,1.4937,3.0357
2025-02-18,sh.600192,5.64,5980639,34217347.57,1.3539,-2.253
2025-02-19,sh.600192,5.69,5633124,32206423.08,1.2752,0.8865
2025-02-20,sh.600192,5.65,5962672,33599896.08,1.3498,-0.703
2025-02-21,sh.600192,6.22,10272994,62995688.71,2.3255,10.0885
2025-02-24,sh.600192,6.44,46269343,303873036.76,10.4741,3.537
2025-02-25,sh.600192,6.21,22544902,141996153.68,5.1036,-3.5714
2025-02-26,sh.600192,6.83,15560904,104481641.32,3.5226,9.9839
2025-02-27,sh.600192,7.12,45853656,321043088.62,10.38,4.246
2025-02-28,sh.600192,6.62,22842029,153869340.59,5.1708,-7.0225
2025-03-03,sh.600192,7.28,11826221,85197637.88,2.6771,9.9698
2025-03-04,sh.600192,7.12,36682273,265582957.63,8.3039,-2.1978
2025-03-05,sh.600192,7.23,27385614,192375594.45,6.1994,1.5449
2025-03-06,sh.600192,7.03,22535467,158628455.4,5.1014,-2.7663
2025-03-07,sh.600192,6.89,15248400,104502671.4,3.4518,-1.9915
2025-03-10,sh.600192,6.81,10536800,71728592.2,2.3853,-1.1611
2025-03-11,sh.600192,6.81,7910800,53752374.0,1.7908,0.0
