date,code,close,volume,amount,turn,pctChg
2025-01-13,sh.600580,17.15,130508906,2234071612.3,10.0189,1.5995
2025-01-14,sh.600580,18.87,137477059,2521624096.81,10.5539,10.0292
2025-01-15,sh.600580,19.09,230401545,4440610918.66,17.6875,1.1659
2025-01-16,sh.600580,19.13,176091966,3414837905.27,13.5183,0.2095
2025-01-17,sh.600580,19.3,161257581,3154755049.24,12.3795,0.8887
2025-01-20,sh.600580,19.7,163206064,3155868020.68,12.529,2.0725
2025-01-21,sh.600580,20.7,199137108,4103606013.31,15.2874,5.0761
2025-01-22,sh.600580,20.27,151122157,3076706747.94,11.6014,-2.0773
2025-01-23,sh.600580,19.62,170768312,3462848426.9,13.1096,-3.2067
2025-01-24,sh.600580,21.19,231253323,4806486912.29,17.7529,8.002
2025-01-27,sh.600580,20.69,156381961,3206466000.35,12.0052,-2.3596
2025-02-05,sh.600580,22.76,227447902,5030710504.3,17.4608,10.0048
2025-02-06,sh.600580,24.13,265739341,6280911359.97,20.4003,6.0193
2025-02-07,sh.600580,26.54,197975355,5131195721.25,15.1982,9.9876
2025-02-10,sh.600580,27.11,263339056,7031735262.66,20.2161,2.1477
2025-02-11,sh.600580,27.21,210456103,5679311432.18,16.1563,0.3689
2025-02-12,sh.600580,27.98,182589691,5032769847.1,14.0171,2.8298
2025-02-13,sh.600580,25.38,274088679,7245091989.52,21.0413,-9.2924
2025-02-14,sh.600580,24.8,191880704,4785006262.4,14.7303,-2.2853
2025-02-17,sh.600580,26.47,212545216,5463696276.34,16.3167,6.7339
2025-02-18,sh.600580,26.6,203174287,5395581206.51,15.5973,0.4911
2025-02-19,sh.600580,28.61,262783892,7413184896.0,20.1734,7.5564
2025-02-20,sh.600580,27.9,262870928,7480520381.55,20.1801,-2.4816
2025-02-21,sh.600580,28.17,186136716,5198186926.49,14.2894,0.9677
2025-02-24,sh.600580,28.69,191888515,5438152411.61,14.7309,1.8459
2025-02-25,sh.600580,29.29,200403604,5836896549.89,15.3846,2.0913
2025-02-26,sh.600580,29.02,258479501,7799363821.76,19.843,-0.9218
2025-02-27,sh.600580,28.04,191542640,5385688995.1,14.7044,-3.377
2025-02-28,sh.600580,25.65,156270217,4114149054.48,11.9966,-8.5235
2025-03-03,sh.600580,25.48,102384682,2614839327.13,7.8599,-0.6628
2025-03-04,sh.600580,25.71,116440560,2996101959.65,8.9389,0.9027
2025-03-05,sh.600580,26.17,103877266,2686676370.91,7.9745,1.7892
2025-03-06,sh.600580,27.32,140648140,3802687996.86,10.7973,4.3943
2025-03-07,sh.600580,28.58,200802860,5587183799.93,15.4153,4.612
2025-03-10,sh.600580,28.66,164413505,4760442707.1,12.6217,0.2799
2025-03-11,sh.600580,28.17,139545910,3904954532.33,10.7127,-1.7097
