date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-25,sz.300379,17.8,18.81,17.6,18.49,67381900,1229104605.24,12.7947,0.7629
2025-02-26,sz.300379,18.31,18.48,17.88,18.14,43566850,787965089.05,8.2726,-1.8929
2025-02-27,sz.300379,18.1,18.28,17.3,17.53,36307946,641109511.21,6.8943,-3.3627
2025-02-28,sz.300379,17.29,17.37,16.34,16.36,31295294,526149898.0,5.9425,-6.6743
2025-03-03,sz.300379,16.76,16.81,16.01,16.17,22120116,363397951.64,4.2003,-1.1614
2025-03-04,sz.300379,15.97,16.5,15.9,16.45,15480074,252970599.88,2.9394,1.7316
2025-03-05,sz.300379,16.46,16.99,16.19,16.86,24451906,406198544.22,4.643,2.4924
2025-03-06,sz.300379,17.06,19.76,17.06,19.28,118324639,2211955499.75,22.4679,14.3535
2025-03-07,sz.300379,19.33,21.45,18.57,18.69,139760789,2769332352.59,26.5383,-3.0602
2025-03-10,sz.300379,18.56,18.59,17.64,17.89,69498634,1249822986.66,13.1967,-4.2804
2025-03-11,sz.300379,17.5,17.78,17.43,17.71,36973050,651747564.26,7.0206,-1.0061
