date,code,close,volume,amount,turn,pctChg
2025-01-13,sh.603026,32.66,2120100,68664147.0,1.046,1.6812
2025-01-14,sh.603026,34.14,4295807,143553496.96,2.1195,4.5315
2025-01-15,sh.603026,33.52,2406500,81056500.0,1.1873,-1.8161
2025-01-16,sh.603026,33.44,2089800,70224626.0,1.0311,-0.2387
2025-01-17,sh.603026,33.28,1502000,50142082.0,0.7411,-0.4785
2025-01-20,sh.603026,33.88,2577009,87466138.09,1.2715,1.8029
2025-01-21,sh.603026,33.2,2263489,75883703.15,1.1168,-2.0071
2025-01-22,sh.603026,32.52,1808750,58957931.5,0.8924,-2.0482
2025-01-23,sh.603026,32.52,2009030,66329405.2,0.9912,0.0
2025-01-24,sh.603026,33.2,1681040,55417711.6,0.8294,2.091
2025-01-27,sh.603026,32.61,1561501,51570614.78,0.7704,-1.7771
2025-02-05,sh.603026,33.05,1269609,41960070.99,0.6264,1.3493
2025-02-06,sh.603026,34.13,2295781,77426045.15,1.1327,3.2678
2025-02-07,sh.603026,34.28,2700140,92782227.8,1.3322,0.4395
2025-02-10,sh.603026,34.23,2343000,79883192.0,1.156,-0.1459
2025-02-11,sh.603026,33.53,2975970,99782672.8,1.4683,-2.045
2025-02-12,sh.603026,33.36,6525700,216704161.0,3.2197,-0.507
2025-02-13,sh.603026,34.6,9657278,331022989.27,4.7648,3.717
2025-02-14,sh.603026,34.22,7747525,268225367.32,3.8225,-1.0983
2025-02-17,sh.603026,33.85,5056900,171763998.96,2.495,-1.0812
2025-02-18,sh.603026,34.17,5547353,190030997.2,2.737,0.9453
2025-02-19,sh.603026,34.16,4123409,140181751.26,2.0344,-0.0293
2025-02-20,sh.603026,33.84,3750500,127116675.32,1.8505,-0.9368
2025-02-21,sh.603026,33.99,4501178,152979940.3,2.2208,0.4433
2025-02-24,sh.603026,34.1,4441600,151051760.22,2.1914,0.3236
2025-02-25,sh.603026,33.86,4038249,137317285.85,1.9924,-0.7038
2025-02-26,sh.603026,35.07,8116055,281915295.43,4.0044,3.5735
2025-02-27,sh.603026,36.03,8841678,314654554.77,4.3624,2.7374
2025-02-28,sh.603026,35.7,9521943,347275494.74,4.698,-0.9159
2025-03-03,sh.603026,38.25,14073845,539337205.04,6.9439,7.1429
2025-03-04,sh.603026,36.9,9379767,346469195.29,4.6279,-3.5294
2025-03-05,sh.603026,36.28,5825099,210748907.08,2.874,-1.6802
2025-03-06,sh.603026,37.61,10154875,384098132.48,5.0103,3.6659
2025-03-07,sh.603026,36.65,6419140,237037789.96,3.1671,-2.5525
2025-03-10,sh.603026,36.88,3871200,142626666.0,1.91,0.6276
2025-03-11,sh.603026,37.45,5023400,186757205.0,2.4785,1.5456
