date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-25,sz.002635,16.59,17.0,16.39,16.79,14449099,242330750.71,3.6543,0.4187
2025-02-26,sz.002635,16.82,17.03,16.75,16.9,12969237,219127345.83,3.2801,0.6552
2025-02-27,sz.002635,16.94,16.95,16.27,16.58,13443000,222426161.29,3.3999,-1.8935
2025-02-28,sz.002635,16.5,16.54,15.83,15.86,14399119,231887914.39,3.6417,-4.3426
2025-03-03,sz.002635,15.92,16.18,15.67,15.82,8724108,139217544.32,2.2064,-0.2522
2025-03-04,sz.002635,15.75,16.05,15.72,16.0,7740815,123172106.34,1.9577,1.1378
2025-03-05,sz.002635,15.99,16.5,15.9,16.3,11752564,190926048.55,2.9723,1.875
2025-03-06,sz.002635,16.33,16.5,16.29,16.35,10428800,171041233.0,2.6376,0.3067
2025-03-07,sz.002635,16.3,16.65,16.2,16.31,9086100,149150271.8,2.298,-0.2446
2025-03-10,sz.002635,16.47,16.73,16.14,16.3,9696091,158365144.46,2.4522,-0.0613
2025-03-11,sz.002635,16.11,16.44,16.07,16.36,8554363,138990492.37,2.1635,0.3681
