date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-25,sz.002405,10.03,10.41,9.9,10.13,125574440,1276696931.49,5.3311,1.1988
2025-02-26,sz.002405,10.06,10.2,9.98,10.12,79683588,802325033.17,3.3828,-0.0987
2025-02-27,sz.002405,10.11,10.15,9.8,10.01,75904914,756455341.02,3.2224,-1.087
2025-02-28,sz.002405,9.98,10.03,9.43,9.47,82634205,799143319.37,3.5081,-5.3946
2025-03-03,sz.002405,9.57,9.72,9.42,9.5,48075536,460717115.57,2.041,0.3168
2025-03-04,sz.002405,9.46,9.74,9.42,9.69,42581500,410678672.05,1.8077,2.0
2025-03-05,sz.002405,9.72,9.78,9.57,9.72,38287104,369912530.56,1.6254,0.3096
2025-03-06,sz.002405,9.77,9.99,9.72,9.89,65276161,644189170.6,2.7712,1.749
2025-03-07,sz.002405,9.89,9.96,9.68,9.74,55002115,540200038.08,2.335,-1.5167
2025-03-10,sz.002405,9.7,9.8,9.55,9.62,38800205,373625934.63,1.6472,-1.232
2025-03-11,sz.002405,9.51,9.63,9.47,9.58,37071822,353732591.95,1.5738,-0.4158
