date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-10,sz.301269,115.58,120.2,114.36,119.54,7720694,906409104.14,2.9432,3.4441
2025-02-11,sz.301269,118.78,120.83,116.25,117.0,5201580,614055617.56,1.9829,-2.1248
2025-02-12,sz.301269,117.0,118.18,115.5,117.96,5526519,645616205.92,2.1068,0.8205
2025-02-13,sz.301269,117.4,117.9,112.98,113.0,5486398,629824753.64,2.0915,-4.2048
2025-02-14,sz.301269,113.06,115.38,111.25,113.99,5132623,581182112.16,1.9566,0.8761
2025-02-17,sz.301269,113.85,115.5,112.57,113.58,5128667,583120585.01,1.9551,-0.3597
2025-02-18,sz.301269,113.0,118.05,111.81,112.7,7585250,872879795.73,2.8916,-0.7748
2025-02-19,sz.301269,112.31,116.72,112.08,115.9,6832886,785245831.51,2.6048,2.8394
2025-02-20,sz.301269,115.0,116.19,113.1,114.03,4395714,502554562.73,1.6757,-1.6135
2025-02-21,sz.301269,114.21,118.28,112.51,117.31,8127474,943506825.07,3.0983,2.8764
2025-02-24,sz.301269,117.31,119.48,115.48,117.76,6239560,732092575.65,2.3786,0.3836
2025-02-25,sz.301269,115.8,120.83,114.4,118.11,7596517,893618212.66,2.8959,0.2972
2025-02-26,sz.301269,118.18,118.51,114.28,117.49,7569108,879230969.94,2.8854,-0.5249
2025-02-27,sz.301269,116.98,117.63,112.25,114.09,6267180,718273060.8,2.3891,-2.8939
2025-02-28,sz.301269,113.0,113.8,106.09,107.14,5876698,641115798.36,2.2403,-6.0917
2025-03-03,sz.301269,106.88,107.8,105.4,105.83,3535440,376896526.2,1.3478,-1.2227
2025-03-04,sz.301269,105.11,123.5,105.01,117.71,12979776,1492279691.0,4.948,11.2256
2025-03-05,sz.301269,115.88,119.66,114.7,117.02,9045819,1058612707.16,3.4484,-0.5862
2025-03-06,sz.301269,116.23,121.12,116.23,119.46,8382120,997260359.71,3.1954,2.0851
2025-03-07,sz.301269,118.85,119.35,115.07,115.9,5376680,628585412.54,2.0497,-2.9801
2025-03-10,sz.301269,115.2,116.67,113.03,114.33,4269363,488117855.59,1.6275,-1.3546
2025-03-11,sz.301269,112.9,114.59,111.5,112.8,3986351,449324544.92,1.5196,-1.3382
