date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-10,sz.300523,20.08,21.1,19.8,21.1,7356250,152126409.96,3.1671,6.9437
2025-02-11,sz.300523,21.0,21.05,20.31,20.85,5717961,118396762.52,2.4618,-1.1848
2025-02-12,sz.300523,20.8,21.2,20.6,21.18,5083600,106248889.0,2.1887,1.5827
2025-02-13,sz.300523,21.49,21.51,20.7,21.17,5459250,115110373.36,2.3504,-0.0472
2025-02-14,sz.300523,21.12,22.1,20.96,21.9,6982060,151077257.5,3.006,3.4483
2025-02-17,sz.300523,22.67,23.0,21.77,21.9,10328545,229254836.06,4.4468,0.0
2025-02-18,sz.300523,21.88,22.15,20.54,20.65,7042597,150030267.42,3.0321,-5.7078
2025-02-19,sz.300523,20.67,21.17,20.64,21.08,4237783,88927816.08,1.8245,2.0823
2025-02-20,sz.300523,20.98,21.34,20.71,21.16,3883616,81676676.44,1.672,0.3795
2025-02-21,sz.300523,21.21,22.45,20.81,22.15,7504952,163779772.76,3.2312,4.6786
2025-02-24,sz.300523,21.99,22.39,21.6,21.94,5177512,113732088.66,2.2291,-0.9481
2025-02-25,sz.300523,21.7,22.28,21.21,21.93,4508300,98391965.32,1.941,-0.0456
2025-02-26,sz.300523,22.01,23.15,21.62,23.04,10864575,245598041.56,4.6776,5.0616
2025-02-27,sz.300523,22.9,23.06,21.99,22.79,10849686,243889904.18,4.6712,-1.0851
2025-02-28,sz.300523,22.56,22.85,21.13,21.49,6606915,145736938.8,2.8445,-5.7043
2025-03-03,sz.300523,21.57,21.7,20.88,21.17,5523730,117472167.35,2.3782,-1.4891
2025-03-04,sz.300523,20.92,21.62,20.9,21.54,3503941,75067520.99,1.5086,1.7478
2025-03-05,sz.300523,21.58,25.85,21.31,25.85,20311485,484489556.42,8.7449,20.0093
2025-03-06,sz.300523,26.17,26.69,25.01,25.49,26909446,696117338.29,11.5855,-1.3926
2025-03-07,sz.300523,25.18,27.44,24.69,26.33,21257273,549764700.11,9.1521,3.2954
2025-03-10,sz.300523,25.5,25.79,24.0,24.18,14417323,354000953.96,6.2072,-8.1656
2025-03-11,sz.300523,23.92,25.2,23.88,24.68,9307719,229440927.31,4.0073,2.0678
