date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-10,sz.300925,27.7,31.99,27.17,31.29,90862839,2639028526.62,27.486,17.1033
2025-02-11,sz.300925,30.37,31.29,28.98,29.25,78725536,2338908527.03,23.8145,-6.5197
2025-02-12,sz.300925,28.78,30.17,28.78,29.39,54335679,1601084463.84,16.4365,0.4786
2025-02-13,sz.300925,29.1,29.1,27.72,28.22,47827780,1352685378.77,14.4679,-3.9809
2025-02-14,sz.300925,28.01,29.8,27.9,29.0,49002433,1416265199.51,14.8232,2.764
2025-02-17,sz.300925,29.87,30.46,28.38,28.8,41644547,1217957900.41,12.5975,-0.6897
2025-02-18,sz.300925,28.37,28.79,26.6,26.61,42076172,1160181379.07,12.728,-7.6042
2025-02-19,sz.300925,26.77,27.52,26.51,27.38,26988536,734228353.53,8.164,2.8936
2025-02-20,sz.300925,27.35,27.58,26.8,27.2,25941505,705112030.46,7.8473,-0.6574
2025-02-21,sz.300925,27.45,27.95,27.1,27.78,35733424,987004170.45,10.8094,2.1324
2025-02-24,sz.300925,27.7,28.06,27.01,27.55,31775170,873083223.29,9.612,-0.8279
2025-02-25,sz.300925,26.89,28.8,26.75,28.3,47924465,1347302698.16,14.4971,2.7223
2025-02-26,sz.300925,28.0,28.06,27.14,27.63,31763273,872565188.09,9.6084,-2.3675
2025-02-27,sz.300925,27.4,27.65,25.95,26.29,30320115,807297247.55,9.1718,-4.8498
2025-02-28,sz.300925,26.0,26.38,24.43,24.53,25191824,638001711.56,7.6205,-6.6946
2025-03-03,sz.300925,24.76,25.49,24.09,24.98,19157499,479527555.12,5.7951,1.8345
2025-03-04,sz.300925,25.0,25.9,24.9,25.59,19429228,496007879.98,5.8773,2.442
2025-03-05,sz.300925,25.37,25.9,25.19,25.71,16250278,415114310.63,4.9157,0.4689
2025-03-06,sz.300925,26.06,28.28,25.92,27.72,52034590,1421846369.77,15.7405,7.818
2025-03-07,sz.300925,27.01,28.28,26.89,27.26,38091342,1050605808.56,11.5226,-1.6595
2025-03-10,sz.300925,26.88,27.0,26.06,26.42,21451467,566281228.98,6.4891,-3.0814
2025-03-11,sz.300925,26.0,26.35,25.81,26.15,13592295,354493485.05,4.1117,-1.022
