date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-25,sh.603297,102.0,112.1,100.0,107.88,4937876,518556924.25,4.4594,1.7256
2025-02-26,sh.603297,107.0,107.0,104.0,104.93,2687936,281815558.4,2.4275,-2.7345
2025-02-27,sh.603297,104.7,105.6,100.88,102.34,1800842,185035911.04,1.6263,-2.4683
2025-02-28,sh.603297,102.35,102.66,95.0,95.88,2684169,261659539.37,2.4241,-6.3123
2025-03-03,sh.603297,96.5,99.89,94.61,97.4,1914900,185421404.0,1.7294,1.5853
2025-03-04,sh.603297,95.07,97.09,93.7,96.69,1728983,164937243.43,1.5615,-0.729
2025-03-05,sh.603297,95.88,98.55,95.85,97.4,1390177,135413256.68,1.2555,0.7343
2025-03-06,sh.603297,97.8,99.46,97.8,98.0,2052398,202427914.34,1.8535,0.616
2025-03-07,sh.603297,97.9,97.97,95.6,97.05,1543318,148985846.52,1.3938,-0.9694
2025-03-10,sh.603297,98.08,101.38,97.72,99.96,2639950,262858992.95,2.3842,2.9985
2025-03-11,sh.603297,98.0,98.48,96.46,97.3,1487361,144784232.31,1.3432,-2.6611
