date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-25,sz.300561,47.94,49.09,46.57,46.81,21387029,1015914509.57,11.8595,-3.6236
2025-02-26,sz.300561,47.0,47.76,45.5,47.76,27515335,1278978712.95,15.2578,2.0295
2025-02-27,sz.300561,47.12,47.64,44.56,45.46,23843681,1093232484.84,13.2218,-4.8157
2025-02-28,sz.300561,45.28,49.65,45.1,46.88,35254911,1682704805.23,19.5495,3.1236
2025-03-03,sz.300561,45.12,45.53,41.71,42.24,28396563,1219873435.71,15.7465,-9.8976
2025-03-04,sz.300561,41.23,42.54,41.23,42.23,14050829,590551523.81,7.7915,-0.0237
2025-03-05,sz.300561,42.12,45.52,41.2,43.51,29250516,1267262920.34,16.22,3.031
2025-03-06,sz.300561,43.51,45.38,43.2,44.64,26930114,1198967727.41,14.9333,2.5971
2025-03-07,sz.300561,43.54,43.9,42.0,42.15,21607420,927940245.64,11.9817,-5.578
2025-03-10,sz.300561,42.15,42.78,41.8,42.49,11159344,471496000.12,6.1881,0.8066
2025-03-11,sz.300561,41.93,42.39,41.65,42.12,9801090,411763714.6,5.4349,-0.8708
