date,code,close,volume,amount,turn,pctChg
2025-01-13,sh.603396,24.19,1204600,28968631.0,0.8696,-0.4117
2025-01-14,sh.603396,25.13,1830093,45272445.04,1.3211,3.8859
2025-01-15,sh.603396,25.8,3468675,89062463.5,2.504,2.6661
2025-01-16,sh.603396,25.79,2367029,61410316.0,1.7087,-0.0388
2025-01-17,sh.603396,25.7,1340604,34368498.28,0.9678,-0.349
2025-01-20,sh.603396,25.91,1521404,39414864.52,1.0983,0.8171
2025-01-21,sh.603396,25.54,1329675,33969614.09,0.9599,-1.428
2025-01-22,sh.603396,25.12,980750,24704670.0,0.708,-1.6445
2025-01-23,sh.603396,25.07,1325920,33704081.6,0.9572,-0.199
2025-01-24,sh.603396,25.52,1397745,35447428.5,1.009,1.795
2025-01-27,sh.603396,24.96,1376820,34888241.0,0.9939,-2.1944
2025-02-05,sh.603396,25.24,1423600,35705710.0,1.0277,1.1218
2025-02-06,sh.603396,25.91,2187800,55921712.0,1.5793,2.6545
2025-02-07,sh.603396,27.17,5037457,136362084.08,3.6364,4.863
2025-02-10,sh.603396,27.27,2809057,76131017.76,2.0278,0.3681
2025-02-11,sh.603396,26.8,2038200,54551106.0,1.4713,-1.7235
2025-02-12,sh.603396,27.14,2258662,60678618.26,1.6305,1.2687
2025-02-13,sh.603396,26.78,2519462,68043401.04,1.8187,-1.3265
2025-02-14,sh.603396,26.83,2140300,57608518.0,1.545,0.1867
2025-02-17,sh.603396,26.8,1768687,47311119.47,1.2768,-0.1118
2025-02-18,sh.603396,26.32,2914109,78149077.7,2.1036,-1.791
2025-02-19,sh.603396,26.88,2317409,61782794.4,1.6729,2.1277
2025-02-20,sh.603396,26.78,1901762,50898383.0,1.3728,-0.372
2025-02-21,sh.603396,26.98,2576662,69043596.94,1.86,0.7468
2025-02-24,sh.603396,27.05,2584350,69710559.5,1.8656,0.2595
2025-02-25,sh.603396,27.14,2873500,78096412.0,2.0743,0.3327
2025-02-26,sh.603396,27.92,4809746,132691709.48,3.4721,2.874
2025-02-27,sh.603396,27.62,4064505,111616351.7,2.9341,-1.0745
2025-02-28,sh.603396,26.79,3317700,90640864.0,2.395,-3.0051
2025-03-03,sh.603396,26.99,3087116,84084704.14,2.2285,0.7465
2025-03-04,sh.603396,27.27,2570105,69268288.55,1.8553,1.0374
2025-03-05,sh.603396,26.78,2543057,67924403.46,1.8358,-1.7968
2025-03-06,sh.603396,27.28,2857540,77561679.4,2.0628,1.8671
2025-03-07,sh.603396,26.91,2287109,61634873.0,1.651,-1.3563
2025-03-10,sh.603396,27.65,3584300,98332606.0,2.5874,2.7499
2025-03-11,sh.603396,27.8,2491245,68463560.2,1.7984,0.5425
