date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-10,sz.300339,61.54,63.4,59.61,60.94,133673744,8235892120.52,17.1886,2.0429
2025-02-11,sz.300339,59.68,60.88,58.62,58.62,100124983,5949321198.03,12.8747,-3.807
2025-02-12,sz.300339,58.08,62.99,58.0,61.95,121929599,7444968351.23,15.6785,5.6807
2025-02-13,sz.300339,61.96,61.97,59.6,60.03,92136506,5583633943.01,11.8475,-3.0993
2025-02-14,sz.300339,59.45,61.3,58.31,60.12,84207353,5042010404.5,10.8279,0.1499
2025-02-17,sz.300339,60.35,61.51,58.86,59.44,72907137,4372612514.24,9.3749,-1.1311
2025-02-18,sz.300339,59.3,61.0,56.0,56.01,81790475,4742901486.05,10.5172,-5.7705
2025-02-19,sz.300339,56.61,58.55,55.87,57.84,59539608,3412592879.13,7.656,3.2673
2025-02-20,sz.300339,57.4,57.74,56.31,56.75,47934772,2724948975.16,6.1638,-1.8845
2025-02-21,sz.300339,57.27,58.67,55.58,58.4,78383620,4509499142.36,10.0791,2.9075
2025-02-24,sz.300339,58.15,62.13,57.4,61.77,129131476,7761798664.63,16.6046,5.7705
2025-02-25,sz.300339,60.0,63.86,59.5,60.54,105732898,6484325233.97,13.5958,-1.9913
2025-02-26,sz.300339,60.83,61.5,59.21,60.02,64081586,3856186828.45,8.24,-0.8589
2025-02-27,sz.300339,59.8,60.28,57.88,58.59,56582067,3334913575.86,7.2757,-2.3825
2025-02-28,sz.300339,58.07,58.59,54.51,55.39,58074253,3267822315.45,7.4676,-5.4617
2025-03-03,sz.300339,56.22,57.36,54.8,56.24,43112519,2422533566.09,5.5437,1.5346
2025-03-04,sz.300339,55.47,58.35,55.28,57.86,52445762,3003708302.32,6.7438,2.8805
2025-03-05,sz.300339,59.35,60.8,58.13,58.77,74230819,4416958500.8,9.5451,1.5728
2025-03-06,sz.300339,59.56,60.5,58.28,59.79,71070800,4236899078.15,9.1387,1.7356
2025-03-07,sz.300339,59.9,60.49,57.66,58.0,54514235,3229188634.58,7.0098,-2.9938
2025-03-10,sz.300339,57.5,58.53,56.66,57.73,41493914,2387650418.12,5.3356,-0.4655
2025-03-11,sz.300339,56.44,57.57,56.3,57.01,25165527,1432915683.03,3.2359,-1.2472
