date,code,close,volume,amount,turn,pctChg
2025-01-13,sh.600312,16.56,19742449,328048085.7,1.4549,-2.6455
2025-01-14,sh.600312,17.6,20783123,358655715.32,1.5316,6.2802
2025-01-15,sh.600312,17.41,21574256,376531539.59,1.5899,-1.0795
2025-01-16,sh.600312,17.9,18533752,331081708.92,1.3659,2.8145
2025-01-17,sh.600312,18.12,11766900,212300591.22,0.8672,1.2291
2025-01-20,sh.600312,18.26,12018790,219951837.22,0.8857,0.7726
2025-01-21,sh.600312,18.14,8072608,146620878.71,0.5949,-0.22
2025-01-22,sh.600312,18.34,7937118,144757661.78,0.5849,1.1025
2025-01-23,sh.600312,17.9,9410895,170768491.65,0.6935,-2.3991
2025-01-24,sh.600312,18.04,9809763,178489298.85,0.7229,0.7821
2025-01-27,sh.600312,17.9,9039601,163292575.76,0.6662,-0.7761
2025-02-05,sh.600312,17.36,12018480,209587910.31,0.8857,-3.0168
2025-02-06,sh.600312,16.96,30345740,511953573.1,2.2364,-2.3041
2025-02-07,sh.600312,17.04,17845356,304617290.94,1.3151,0.4717
2025-02-10,sh.600312,16.7,24876970,417710193.56,1.8333,-1.9953
2025-02-11,sh.600312,16.51,37156843,608898645.62,2.7383,-1.1377
2025-02-12,sh.600312,16.97,29416595,495080060.3,2.1679,2.7862
2025-02-13,sh.600312,16.86,17972043,304460119.83,1.3245,-0.6482
2025-02-14,sh.600312,16.87,16571655,280957289.88,1.2213,0.0593
2025-02-17,sh.600312,16.63,19235940,318810789.25,1.4176,-1.4226
2025-02-18,sh.600312,16.51,15272920,253599151.33,1.1256,-0.7216
2025-02-19,sh.600312,16.34,16866889,275924932.22,1.243,-1.0297
2025-02-20,sh.600312,16.13,19470356,314111503.31,1.4349,-1.2852
2025-02-21,sh.600312,16.26,19400764,316397287.98,1.4298,0.806
2025-02-24,sh.600312,16.27,18943380,309027312.52,1.3961,0.0615
2025-02-25,sh.600312,15.53,33483296,527629459.21,2.4676,-4.5482
2025-02-26,sh.600312,15.61,20473971,318068557.23,1.5089,0.5151
2025-02-27,sh.600312,15.77,16723806,261886299.42,1.2325,1.025
2025-02-28,sh.600312,15.61,17734694,280118526.54,1.307,-1.0146
2025-03-03,sh.600312,15.83,20190730,320615986.27,1.488,1.4094
2025-03-04,sh.600312,16.0,15110001,240733902.51,1.1136,1.0739
2025-03-05,sh.600312,15.78,14204006,225501107.56,1.0468,-1.375
2025-03-06,sh.600312,15.91,16244537,257406036.82,1.1972,0.8238
2025-03-07,sh.600312,15.85,13291901,210917461.91,0.9796,-0.3771
2025-03-10,sh.600312,15.81,12064284,191001387.15,0.8891,-0.2524
2025-03-11,sh.600312,15.85,11895401,187543671.12,0.8766,0.253
