date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-20,sh.601700,4.44,4.54,4.44,4.52,11838503,53144516.41,1.0364,1.1186
2025-02-21,sh.601700,4.54,4.55,4.45,4.5,11328405,50855664.45,0.9918,-0.4425
2025-02-24,sh.601700,4.5,4.52,4.45,4.48,9354700,41858944.0,0.819,-0.4444
2025-02-25,sh.601700,4.46,4.49,4.42,4.46,6099200,27206638.0,0.534,-0.4464
2025-02-26,sh.601700,4.46,4.5,4.46,4.49,7729602,34648803.96,0.6767,0.6726
2025-02-27,sh.601700,4.5,4.52,4.42,4.48,8201800,36600876.0,0.718,-0.2227
2025-02-28,sh.601700,4.45,4.48,4.37,4.39,9723400,42977143.0,0.8513,-2.0089
2025-03-03,sh.601700,4.39,4.49,4.39,4.44,8186500,36493295.0,0.7167,1.139
2025-03-04,sh.601700,4.4,4.5,4.39,4.49,8381400,37473514.0,0.7338,1.1261
2025-03-05,sh.601700,4.49,4.5,4.42,4.47,6797080,30286699.0,0.5951,-0.4454
2025-03-06,sh.601700,4.48,4.58,4.47,4.56,13670949,61949006.95,1.1968,2.0134
2025-03-07,sh.601700,4.56,4.56,4.46,4.5,11093000,50030355.0,0.9712,-1.3158
2025-03-10,sh.601700,4.49,4.57,4.49,4.54,10223800,46341998.0,0.8951,0.8889
2025-03-11,sh.601700,4.52,4.59,4.49,4.59,10901176,49609446.76,0.9544,1.1013
