date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-25,sh.603528,9.76,9.85,9.55,9.67,36902743,357716674.77,5.2275,-3.5892
2025-02-26,sh.603528,9.6,9.85,9.49,9.76,33263468,321383838.82,4.712,0.9307
2025-02-27,sh.603528,9.68,9.69,9.23,9.47,34634262,327152683.16,4.9062,-2.9713
2025-02-28,sh.603528,9.36,9.4,8.83,8.89,24516958,223151188.36,3.473,-6.1246
2025-03-03,sh.603528,8.9,9.11,8.77,8.85,21678753,194210917.16,3.0709,-0.4499
2025-03-04,sh.603528,8.73,9.15,8.7,9.1,16593045,149553017.99,2.3505,2.8249
2025-03-05,sh.603528,9.13,9.22,8.99,9.18,15859656,144627578.76,2.2466,0.8791
2025-03-06,sh.603528,9.25,9.4,9.2,9.35,20731208,193282419.96,2.9367,1.8519
2025-03-07,sh.603528,9.31,9.47,9.14,9.25,18630035,173529705.83,2.6391,-1.0695
2025-03-10,sh.603528,9.05,9.18,8.97,9.12,16525528,149712864.68,2.341,-1.4054
2025-03-11,sh.603528,8.95,9.24,8.94,9.19,16892812,154183090.42,2.393,0.7675
