date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-25,sz.300264,6.3,6.42,6.22,6.31,44828740,283452875.13,12.1032,-2.9231
2025-02-26,sz.300264,6.3,6.44,6.21,6.3,28611015,180105954.9,7.7246,-0.1585
2025-02-27,sz.300264,6.25,6.36,6.05,6.16,29913841,185124422.09,8.0764,-2.2222
2025-02-28,sz.300264,6.11,6.59,5.9,6.28,62864264,392054973.36,16.9725,1.9481
2025-03-03,sz.300264,6.16,6.33,5.95,6.06,39481090,242982601.84,10.6594,-3.5032
2025-03-04,sz.300264,6.0,6.1,5.95,6.07,21181000,128067808.0,5.7186,0.165
2025-03-05,sz.300264,6.06,6.33,6.05,6.24,28991500,180092224.0,7.8273,2.8007
2025-03-06,sz.300264,6.21,6.45,6.18,6.38,43336271,274419238.38,11.7002,2.2436
2025-03-07,sz.300264,6.31,6.46,6.16,6.21,35217584,222615440.8,9.5083,-2.6646
2025-03-10,sz.300264,6.21,6.25,6.0,6.03,27932784,169259205.0,7.5415,-2.8986
2025-03-11,sz.300264,5.96,6.28,5.92,6.17,25595404,157197763.6,6.9104,2.3217
