date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-10,sz.000004,12.95,13.97,12.6,13.97,19405000,259610794.0,15.3657,10.0
2025-02-11,sz.000004,14.25,14.59,13.67,13.7,27032195,379106749.74,21.4052,-1.9327
2025-02-12,sz.000004,13.67,14.18,13.45,14.0,18370953,256068396.4,14.5469,2.1898
2025-02-13,sz.000004,14.01,14.12,13.54,13.57,14127316,193597086.56,11.1866,-3.0714
2025-02-14,sz.000004,13.57,13.83,13.24,13.66,11749500,159563595.0,9.3037,0.6632
2025-02-17,sz.000004,13.74,13.94,13.55,13.77,10769610,148199355.5,8.5278,0.8053
2025-02-18,sz.000004,13.77,13.8,13.0,13.15,10907300,145144533.0,8.6368,-4.5025
2025-02-19,sz.000004,13.23,13.39,13.02,13.23,7931030,104546174.5,6.2801,0.6084
2025-02-20,sz.000004,13.15,13.28,12.94,13.12,7031000,91963589.0,5.5674,-0.8314
2025-02-21,sz.000004,13.12,13.42,12.75,13.39,10709700,140586570.0,8.4804,2.0579
2025-02-24,sz.000004,12.05,12.94,12.05,12.78,15286600,192167648.0,12.1045,-4.5556
2025-02-25,sz.000004,12.8,13.48,12.8,13.2,17562537,232086428.6,13.9067,3.2864
2025-02-26,sz.000004,13.36,13.48,12.72,12.82,12384337,159198427.45,9.8064,-2.8788
2025-02-27,sz.000004,12.82,13.15,12.35,12.56,9893400,125385664.0,7.834,-2.0281
2025-02-28,sz.000004,12.51,12.61,12.05,12.08,7871400,96886805.0,6.2329,-3.8217
2025-03-03,sz.000004,12.3,12.45,12.06,12.18,7019500,85954527.0,5.5583,0.8278
2025-03-04,sz.000004,12.12,12.3,11.92,12.28,6093317,74074887.0,4.8249,0.821
2025-03-05,sz.000004,12.25,12.3,11.88,12.18,6963300,83859082.0,5.5138,-0.8143
2025-03-06,sz.000004,12.25,12.76,12.18,12.65,11061500,138683653.0,8.7589,3.8588
2025-03-07,sz.000004,12.54,12.61,12.17,12.24,8663200,106966780.0,6.8599,-3.2411
2025-03-10,sz.000004,12.25,12.25,12.06,12.15,4915400,59655045.0,3.8922,-0.7353
2025-03-11,sz.000004,12.15,12.25,11.96,12.23,4841700,58634649.0,3.8339,0.6584
