date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-25,sz.301086,51.76,52.43,51.24,51.92,1328100,68865042.0,4.0869,-0.5935
2025-02-26,sz.301086,51.99,52.66,51.51,52.39,1537550,80353458.5,4.7314,0.9052
2025-02-27,sz.301086,52.38,52.53,50.4,51.51,1988500,102382009.5,6.1191,-1.6797
2025-02-28,sz.301086,51.16,51.5,48.7,48.83,1469000,73166327.0,4.5205,-5.2029
2025-03-03,sz.301086,48.96,49.93,48.41,48.69,965200,47527833.5,2.9701,-0.2867
2025-03-04,sz.301086,48.5,49.68,47.7,49.68,684000,33636395.5,2.1048,2.0333
2025-03-05,sz.301086,49.78,49.89,48.76,49.88,683200,33745784.5,2.1024,0.4026
2025-03-06,sz.301086,49.68,50.87,49.68,50.52,805450,40761622.5,2.4786,1.2831
2025-03-07,sz.301086,50.76,50.79,49.4,49.76,957334,47944590.64,2.9459,-1.5044
2025-03-10,sz.301086,49.69,50.4,49.37,50.14,633191,31609822.33,1.9485,0.7637
2025-03-11,sz.301086,49.74,50.22,49.37,49.96,670850,33401353.5,2.0644,-0.359
