date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-25,sz.300271,9.23,9.57,9.2,9.32,64285515,600517396.89,8.0635,-2.9167
2025-02-26,sz.300271,9.35,9.48,9.1,9.38,56214335,521434817.71,7.0511,0.6438
2025-02-27,sz.300271,9.4,9.47,8.98,9.13,47994835,439952767.79,6.0201,-2.6652
2025-02-28,sz.300271,9.02,9.13,8.36,8.46,53119622,462692614.0,6.6629,-7.3384
2025-03-03,sz.300271,8.6,8.93,8.32,8.61,40676700,352872998.0,5.1022,1.773
2025-03-04,sz.300271,8.44,8.86,8.43,8.76,28317976,246830720.6,3.552,1.7422
2025-03-05,sz.300271,8.72,8.84,8.59,8.77,30072043,261909535.25,3.772,0.1142
2025-03-06,sz.300271,8.91,9.37,8.87,9.26,68259289,623755367.4,8.5619,5.5872
2025-03-07,sz.300271,9.22,9.44,8.99,9.08,55943695,516393109.11,7.0171,-1.9438
2025-03-10,sz.300271,9.15,9.22,8.72,8.86,35672398,316363639.14,4.4745,-2.4229
2025-03-11,sz.300271,8.61,8.85,8.59,8.8,23753905,207586981.65,2.9795,-0.6772
