date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-10,sh.601519,9.2,9.37,9.16,9.33,80960786,751710489.82,4.0402,1.0834
2025-02-11,sh.601519,9.3,9.44,9.08,9.28,69575500,642841852.98,3.4721,-0.5359
2025-02-12,sh.601519,9.24,9.61,9.19,9.59,85750116,810814588.06,4.2792,3.3405
2025-02-13,sh.601519,9.55,9.58,9.26,9.31,83224108,780712513.72,4.1532,-2.9197
2025-02-14,sh.601519,9.3,9.44,9.15,9.38,61596000,572254666.0,3.0739,0.7519
2025-02-17,sh.601519,9.37,9.55,9.24,9.32,75578762,709637903.38,3.7716,-0.6397
2025-02-18,sh.601519,9.18,9.34,8.86,8.89,62743442,570929717.62,3.1311,-4.6137
2025-02-19,sh.601519,8.9,9.11,8.84,9.06,44618073,402660876.78,2.2266,1.9123
2025-02-20,sh.601519,9.01,9.14,8.92,9.0,40538650,365339481.0,2.023,-0.6623
2025-02-21,sh.601519,9.0,9.28,8.85,9.26,72009028,658101945.72,3.5935,2.8889
2025-02-24,sh.601519,9.19,9.31,9.13,9.21,57477780,528345477.29,2.8683,-0.54
2025-02-25,sh.601519,9.06,9.29,9.01,9.1,44065334,403463408.51,2.199,-1.1944
2025-02-26,sh.601519,9.15,9.24,8.98,9.23,67617504,615705264.24,3.3744,1.4286
2025-02-27,sh.601519,9.14,9.29,8.86,9.06,73271408,664676117.06,3.6565,-1.8418
2025-02-28,sh.601519,8.94,9.09,8.53,8.58,55963607,491608255.68,2.7928,-5.298
2025-03-03,sh.601519,8.61,8.76,8.5,8.54,38762600,334958087.0,1.9344,-0.4662
2025-03-04,sh.601519,8.5,8.72,8.45,8.68,29911001,258474976.66,1.4927,1.6393
2025-03-05,sh.601519,8.68,8.73,8.58,8.67,26028235,225147049.66,1.2989,-0.1152
2025-03-06,sh.601519,8.73,9.15,8.72,9.07,71094931,638007982.86,3.5479,4.6136
2025-03-07,sh.601519,8.88,8.97,8.75,8.82,50295000,445900732.0,2.5099,-2.7563
2025-03-10,sh.601519,8.82,8.83,8.62,8.69,29460243,255843177.38,1.4702,-1.4739
2025-03-11,sh.601519,8.59,8.71,8.56,8.7,22165400,191544114.0,1.1061,0.1151
