date,code,close,volume,amount,turn,pctChg
2025-01-13,sh.600241,6.78,9288301,61920033.68,3.156,-1.8813
2025-01-14,sh.600241,7.09,8571901,60135739.04,2.9126,4.5723
2025-01-15,sh.600241,7.13,6196049,43611514.32,2.1053,0.5642
2025-01-16,sh.600241,7.06,4741720,33636967.2,1.6112,-0.9818
2025-01-17,sh.600241,7.05,4940800,34415831.0,1.6788,-0.1416
2025-01-20,sh.600241,7.03,3736462,26319220.58,1.2696,-0.2837
2025-01-21,sh.600241,6.85,3663800,25268650.0,1.2449,-2.5605
2025-01-22,sh.600241,6.74,3157922,21305279.1,1.073,-1.6058
2025-01-23,sh.600241,6.78,3586616,24642558.12,1.2187,0.5935
2025-01-24,sh.600241,6.82,3123700,21107511.0,1.0614,0.59
2025-01-27,sh.600241,6.8,2957900,20339549.0,1.0051,-0.2933
2025-02-05,sh.600241,6.9,2373962,16301622.56,0.8066,1.4706
2025-02-06,sh.600241,6.95,2806210,19393360.3,0.9535,0.7246
2025-02-07,sh.600241,6.95,4891162,34208907.62,1.662,0.0
2025-02-10,sh.600241,7.1,3627800,25469221.0,1.2327,2.1583
2025-02-11,sh.600241,7.01,2734500,19137557.0,0.9291,-1.2676
2025-02-12,sh.600241,6.99,2664500,18537394.0,0.9054,-0.2853
2025-02-13,sh.600241,6.94,2594000,18072790.0,0.8814,-0.7153
2025-02-14,sh.600241,6.92,2927700,20291942.0,0.9948,-0.2882
2025-02-17,sh.600241,7.06,3509642,24614968.06,1.1925,2.0231
2025-02-18,sh.600241,6.94,3991800,28232086.84,1.3564,-1.6997
2025-02-19,sh.600241,7.08,3245600,22728941.0,1.1028,2.0173
2025-02-20,sh.600241,7.26,5594800,40128840.0,1.901,2.5424
2025-02-21,sh.600241,7.16,5542698,39974500.7,1.8833,-1.3774
2025-02-24,sh.600241,7.16,3782301,26960400.07,1.2852,0.0
2025-02-25,sh.600241,7.17,3047100,21875020.0,1.0354,0.1397
2025-02-26,sh.600241,7.4,9739802,72576136.94,3.3095,3.2078
2025-02-27,sh.600241,7.6,13574702,102632473.72,4.6125,2.7027
2025-02-28,sh.600241,7.36,7812402,58278587.92,2.6546,-3.1579
2025-03-03,sh.600241,7.64,10543429,80417036.72,3.5825,3.8043
2025-03-04,sh.600241,7.55,7300981,54730870.03,2.4808,-1.178
2025-03-05,sh.600241,7.48,5108213,37951902.46,1.7357,-0.9272
2025-03-06,sh.600241,7.45,5041600,37459923.0,1.7131,-0.4011
2025-03-07,sh.600241,7.28,4480600,32710149.0,1.5224,-2.2819
2025-03-10,sh.600241,7.4,3959600,29068922.0,1.3454,1.6484
2025-03-11,sh.600241,7.35,3102800,22623913.0,1.0543,-0.6757
