date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-25,sh.603380,27.39,27.5,26.95,27.07,2531140,68790049.9,1.5776,-2.3096
2025-02-26,sh.603380,27.15,27.4,26.89,27.19,1790700,48613183.0,1.1161,0.4433
2025-02-27,sh.603380,27.19,27.28,26.42,26.91,2362200,63236311.0,1.4723,-1.0298
2025-02-28,sh.603380,26.62,26.78,25.13,25.3,2793600,72133269.0,1.7412,-5.9829
2025-03-03,sh.603380,25.55,25.95,25.02,25.56,1818260,46442585.2,1.1333,1.0277
2025-03-04,sh.603380,25.4,26.0,25.31,25.96,1232200,31820671.0,0.768,1.5649
2025-03-05,sh.603380,25.96,26.6,25.83,26.36,1376800,36116684.0,0.8581,1.5408
2025-03-06,sh.603380,26.44,26.97,26.36,26.71,2090300,55744838.0,1.3028,1.3278
2025-03-07,sh.603380,26.54,26.86,26.33,26.46,1259000,33444499.0,0.7847,-0.936
2025-03-10,sh.603380,26.8,26.8,25.73,26.01,2301653,59883217.99,1.4346,-1.7007
2025-03-11,sh.603380,25.62,25.98,25.5,25.89,1926967,49650488.22,1.201,-0.4614
