date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-10,sz.300541,12.7,13.19,12.63,13.15,42580781,551719833.43,11.6593,4.1997
2025-02-11,sz.300541,13.0,13.34,12.81,13.07,35624726,464216669.04,9.7546,-0.6084
2025-02-12,sz.300541,13.67,14.59,13.6,14.1,103492814,1452601740.34,28.338,7.8806
2025-02-13,sz.300541,14.1,14.13,13.31,13.58,73597740,999548669.28,20.1522,-3.6879
2025-02-14,sz.300541,13.37,13.77,13.09,13.74,58679426,793054215.19,16.0674,1.1782
2025-02-17,sz.300541,14.0,14.42,13.71,13.89,73975145,1040738958.7,20.2556,1.0917
2025-02-18,sz.300541,13.62,14.05,13.16,13.18,50064400,680466604.57,13.7084,-5.1116
2025-02-19,sz.300541,13.33,13.7,13.06,13.66,38410324,516573699.98,10.5174,3.6419
2025-02-20,sz.300541,13.73,13.87,13.4,13.66,35425063,484198106.19,9.6999,0.0
2025-02-21,sz.300541,13.99,14.34,13.71,14.2,66461652,935918428.43,18.1982,3.9531
2025-02-24,sz.300541,14.2,14.2,13.74,13.96,41698526,581171036.49,11.4177,-1.6901
2025-02-25,sz.300541,13.53,13.95,13.36,13.71,35871308,489636327.01,9.8221,-1.7908
2025-02-26,sz.300541,13.68,14.22,13.43,14.05,47642781,661811500.66,13.0453,2.4799
2025-02-27,sz.300541,14.0,14.74,13.56,14.54,81979865,1163016957.3,22.4474,3.4875
2025-02-28,sz.300541,14.18,14.19,13.0,13.03,61542106,830067566.86,16.8512,-10.3851
2025-03-03,sz.300541,13.12,15.15,12.78,14.39,100498101,1439243205.33,27.518,10.4375
2025-03-04,sz.300541,14.36,15.27,14.27,14.76,96035520,1419699949.9,26.296,2.5712
2025-03-05,sz.300541,14.48,15.88,14.29,15.68,114015478,1715299155.0,31.2192,6.2331
2025-03-06,sz.300541,15.31,15.95,15.12,15.59,109923690,1706701822.56,30.0988,-0.574
2025-03-07,sz.300541,15.3,15.55,14.61,14.91,71856381,1082559460.5,19.6754,-4.3618
2025-03-10,sz.300541,14.73,15.26,14.51,15.06,42261739,630924968.28,11.5719,1.006
2025-03-11,sz.300541,14.5,14.64,14.2,14.58,42485392,612839620.66,11.6332,-3.1873
