date,code,open,high,low,close,volume,amount,turn,pctChg
2025-01-13,sh.688147,23.45,24.1,23.18,23.98,2300110,54517602.48,2.3548,1.4812
2025-01-14,sh.688147,24.14,25.4,23.8,25.29,3192023,78953960.3,3.2679,5.4629
2025-01-15,sh.688147,25.36,25.42,24.85,25.1,2478208,62049389.3,2.5371,-0.7513
2025-01-16,sh.688147,25.3,26.83,25.3,25.58,4173967,108818624.48,4.2732,1.9124
2025-01-17,sh.688147,25.56,26.13,25.0,25.7,2834536,72594286.02,2.9019,0.4691
2025-01-20,sh.688147,25.7,26.19,25.54,25.69,2808810,72566206.11,2.8756,-0.0389
2025-01-21,sh.688147,25.8,25.88,25.13,25.65,2281786,58102465.01,2.336,-0.1557
2025-01-22,sh.688147,25.49,25.63,24.62,24.95,2749002,68860517.11,2.8143,-2.729
2025-01-23,sh.688147,25.17,25.7,25.01,25.1,2764407,70103173.87,2.8301,0.6012
2025-01-24,sh.688147,25.11,25.74,24.84,25.63,2685144,68502544.5,2.749,2.1116
2025-01-27,sh.688147,25.7,25.85,24.66,24.66,2264654,57064026.31,2.3185,-3.7846
2025-02-05,sh.688147,25.0,25.28,24.79,24.8,2192507,54845584.03,2.2446,0.5677
2025-02-06,sh.688147,24.79,26.6,24.57,26.36,4525543,117061232.8,4.6331,6.2903
2025-02-07,sh.688147,26.4,27.0,26.21,26.52,4059166,107931830.4,4.1557,0.607
2025-02-10,sh.688147,26.6,27.16,26.22,27.04,3656607,98040744.25,3.7435,1.9608
2025-02-11,sh.688147,27.05,27.05,26.31,26.5,2570787,68167399.17,2.6319,-1.997
2025-02-12,sh.688147,26.49,27.39,26.3,27.33,3635029,97903826.17,3.7214,3.1321
2025-02-13,sh.688147,27.36,27.4,26.61,26.66,3040669,81642195.72,3.1129,-2.4515
2025-02-14,sh.688147,26.61,27.09,26.42,26.58,2630120,70133042.88,2.6926,-0.3001
2025-02-17,sh.688147,26.5,27.02,26.32,26.74,3314315,88235239.48,3.3931,0.602
2025-02-18,sh.688147,26.71,28.28,26.56,27.32,7284026,200222146.2,7.4572,2.169
2025-02-19,sh.688147,26.85,28.49,26.85,28.13,5537534,154715960.78,5.6692,2.9649
2025-02-20,sh.688147,28.0,28.09,27.38,27.74,4317818,119505097.08,4.4205,-1.3864
2025-02-21,sh.688147,27.72,30.19,27.4,29.0,7986001,229304436.85,8.1758,4.5422
2025-02-24,sh.688147,29.0,29.87,28.37,29.46,6581936,190889748.25,6.7384,1.5862
2025-02-25,sh.688147,29.97,32.28,29.97,31.44,14701291,459643071.99,15.0507,6.721
2025-02-26,sh.688147,31.98,32.49,30.51,31.22,8035191,250487432.0,8.2262,-0.6997
2025-02-27,sh.688147,30.99,31.41,29.07,29.86,8874970,266439408.11,9.0859,-4.3562
2025-02-28,sh.688147,29.86,29.99,28.18,28.21,6868058,198466357.5,7.0313,-5.5258
2025-03-03,sh.688147,28.29,30.67,28.09,29.65,8925675,264046501.03,9.1378,5.1046
2025-03-04,sh.688147,29.27,31.85,28.9,31.32,10363880,319149506.24,10.6102,5.6324
