date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-20,sh.603861,9.27,9.3,9.16,9.28,9014000,83151933.0,1.8755,-0.2151
2025-02-21,sh.603861,9.25,9.78,9.25,9.56,25224532,240689239.37,5.2484,3.0172
2025-02-24,sh.603861,9.51,9.71,9.46,9.64,16543668,158866170.96,3.4422,0.8368
2025-02-25,sh.603861,9.6,9.71,9.48,9.58,13735655,132093172.95,2.8579,-0.6224
2025-02-26,sh.603861,9.56,9.68,9.53,9.68,11323772,109129618.54,2.3561,1.0438
2025-02-27,sh.603861,9.75,9.95,9.57,9.75,17205927,167532997.05,3.58,0.7231
2025-02-28,sh.603861,9.71,10.12,9.65,9.68,24376458,240243989.32,5.0719,-0.7179
2025-03-03,sh.603861,9.76,9.95,9.63,9.72,18224392,178355378.66,3.7919,0.4132
2025-03-04,sh.603861,9.65,9.85,9.57,9.85,13547818,132114777.52,2.8189,1.3374
2025-03-05,sh.603861,9.8,10.05,9.78,9.95,13945992,138204461.97,2.9017,1.0152
2025-03-06,sh.603861,9.95,10.22,9.91,10.18,19384032,196296532.89,4.0332,2.3116
2025-03-07,sh.603861,10.14,10.51,10.1,10.42,23136974,239848983.44,4.814,2.3576
2025-03-10,sh.603861,10.64,10.67,10.11,10.14,23147425,237420883.35,4.8162,-2.6871
2025-03-11,sh.603861,9.93,10.14,9.93,10.14,12430605,124826252.49,2.5864,0.0
