date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-20,sz.300882,15.89,15.95,15.71,15.91,3717438,58960302.16,1.3958,0.6962
2025-02-21,sz.300882,15.96,16.3,15.83,16.13,5124794,82360169.32,1.9242,1.3828
2025-02-24,sz.300882,16.23,16.23,15.85,15.99,3579810,57142007.12,1.3441,-0.8679
2025-02-25,sz.300882,15.82,16.02,15.71,15.84,3175668,50452691.12,1.1924,-0.9381
2025-02-26,sz.300882,15.84,16.02,15.77,15.93,3025382,48054749.46,1.136,0.5682
2025-02-27,sz.300882,15.98,15.99,15.5,15.8,3519998,55455519.38,1.3217,-0.8161
2025-02-28,sz.300882,15.79,15.81,15.05,15.1,3712550,57025007.76,1.394,-4.4304
2025-03-03,sz.300882,15.23,15.6,15.16,15.25,2924930,44986421.7,1.0982,0.9934
2025-03-04,sz.300882,15.15,15.62,15.1,15.61,2734122,42333398.92,1.0266,2.3607
2025-03-05,sz.300882,15.63,15.76,15.41,15.6,2954884,45956943.72,1.1095,-0.0641
2025-03-06,sz.300882,15.67,15.87,15.59,15.75,3636466,57099020.08,1.3654,0.9615
2025-03-07,sz.300882,15.68,15.77,15.34,15.44,2939656,45762420.32,1.1038,-1.9683
2025-03-10,sz.300882,15.45,15.62,15.37,15.52,2091922,32435119.4,0.7855,0.5181
2025-03-11,sz.300882,15.47,15.71,15.31,15.69,2651114,41227708.74,0.9954,1.0954
