date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-25,sz.300322,14.65,15.93,14.65,15.48,65069452,1008270595.02,14.6175,3.6145
2025-02-26,sz.300322,15.51,16.0,15.15,15.9,60271243,938947019.86,13.5396,2.7132
2025-02-27,sz.300322,15.64,16.09,15.38,15.75,38822600,608993527.61,8.7213,-0.9434
2025-02-28,sz.300322,15.69,15.69,14.62,14.64,31399458,473095106.14,7.0537,-7.0476
2025-03-03,sz.300322,14.7,14.88,14.07,14.23,25964372,377192975.78,5.8327,-2.8005
2025-03-04,sz.300322,14.06,14.7,13.93,14.64,18211800,263655030.0,4.0912,2.8812
2025-03-05,sz.300322,14.74,15.85,14.74,15.59,57096957,886859085.3,12.8265,6.4891
2025-03-06,sz.300322,15.59,15.95,15.54,15.6,53003715,832938169.69,11.907,0.0641
2025-03-07,sz.300322,15.66,15.7,15.08,15.2,27030853,416143620.31,6.0723,-2.5641
2025-03-10,sz.300322,15.19,15.3,14.81,14.87,20337000,304463609.0,4.5686,-2.1711
2025-03-11,sz.300322,14.6,15.24,14.5,15.05,25319501,376225415.73,5.6879,1.2105
