date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-25,sz.002153,8.29,8.45,8.21,8.28,38569222,321151748.58,2.4109,-2.7027
2025-02-26,sz.002153,8.34,8.38,8.16,8.3,31285034,258733093.31,1.9556,0.2415
2025-02-27,sz.002153,8.34,8.37,7.97,8.11,34561333,280874613.57,2.1604,-2.2892
2025-02-28,sz.002153,8.04,8.08,7.6,7.62,34368158,268331302.5,2.1483,-6.0419
2025-03-03,sz.002153,7.65,7.92,7.53,7.82,30541807,238066069.55,1.9091,2.6247
2025-03-04,sz.002153,7.7,8.02,7.66,7.93,28149547,222509467.97,1.7596,1.4066
2025-03-05,sz.002153,7.95,8.02,7.79,7.93,22705950,179231324.0,1.4193,0.0
2025-03-06,sz.002153,8.02,8.72,8.01,8.72,86974313,738793579.31,5.4367,9.9622
2025-03-07,sz.002153,8.63,8.98,8.5,8.58,97145249,849378810.33,6.0725,-1.6055
2025-03-10,sz.002153,8.53,8.61,8.22,8.32,50323355,419683298.96,3.1457,-3.0303
2025-03-11,sz.002153,8.2,8.36,8.14,8.26,29300800,241694900.65,1.8316,-0.7212
